"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
4.074695770E-1;5.506663769E-2;1.460463047E0;8.693346024E0
4.124145770E-1;-1.484405100E-1;1.261744261E0;9.059659004E0
4.173595770E-1;-4.070142806E-1;1.019929886E0;9.493009567E0
4.223045770E-1;-6.105214357E-1;8.427590132E-1;9.873687744E0
4.272495770E-1;-8.164227605E-1;6.607996821E-1;1.024478912E1
4.321935770E-1;-9.648633003E-1;4.860229492E-1;1.055842972E1
4.371385770E-1;-1.082179189E0;3.280056417E-1;1.081221485E1
4.420835770E-1;-1.185129881E0;2.130839527E-1;1.099417400E1
4.470285770E-1;-1.261744261E0;6.464344263E-2;1.106360626E1
4.519735770E-1;-1.280897856E0;-3.591302410E-2;1.099896240E1
4.569185770E-1;-1.292868972E0;-9.337386489E-2;1.087446404E1
4.618625770E-1;-1.283292055E0;-1.149216816E-1;1.062067890E1
4.667914230E-1;-1.264138460E0;-1.005564705E-1;1.041477776E1
4.717364230E-1;-1.276109457E0;-2.873042040E-2;1.023042393E1
4.766814230E-1;-1.273715258E0;4.788403213E-2;1.008198357E1
4.816264230E-1;-1.278503656E0;1.628057212E-1;9.950302124E0
4.865714230E-1;-1.290474772E0;2.585737705E-1;9.844957352E0
4.915154230E-1;-1.321599364E0;3.351882398E-1;9.794678688E0
4.964604230E-1;-1.314416766E0;3.711012602E-1;9.770736694E0
5.014054230E-1;-1.300051570E0;4.357447028E-1;9.753977776E0
5.063504230E-1;-1.211466074E0;4.644751251E-1;9.737217903E0
5.112954230E-1;-1.132457376E0;4.932055473E-1;9.725247383E0
5.162404230E-1;-1.015141487E0;4.979939461E-1;9.722852707E0
5.211844230E-1;-9.145850539E-1;5.051765442E-1;9.701305389E0
5.261294230E-1;-8.355764151E-1;5.291185975E-1;9.646238327E0
5.310744230E-1;-7.541735172E-1;5.458779931E-1;9.622296333E0
5.360194230E-1;-6.488286853E-1;6.009446383E-1;9.567230225E0
5.409644230E-1;-5.865794420E-1;6.248866320E-1;9.507374763E0
5.459094230E-1;-5.219359994E-1;6.584054828E-1;9.440337181E0
5.508544230E-1;-5.003881454E-1;7.469909191E-1;9.366117477E0
5.557984230E-1;-4.764461517E-1;7.876923680E-1;9.323021889E0
5.607434230E-1;-4.884171486E-1;8.259995580E-1;9.284713745E0
5.656884230E-1;-4.812345505E-1;8.571242094E-1;9.179368973E0
5.706299610E-1;-5.219359994E-1;8.212111592E-1;9.047688484E0
5.755749610E-1;-5.434837937E-1;7.876923680E-1;8.927978516E0
5.805109230E-1;-5.937620401E-1;7.661445141E-1;8.851364136E0
5.854549230E-1;-6.895300746E-1;7.469909191E-1;8.796297073E0
5.903999230E-1;-7.781155705E-1;7.422025204E-1;8.722076416E0
5.953449230E-1;-8.954314590E-1;7.158663273E-1;8.702922821E0
6.002899230E-1;-9.720458984E-1;6.584054828E-1;8.719682693E0
6.052349230E-1;-1.017535686E0;6.177040339E-1;8.798690796E0
6.101799230E-1;-1.015141487E0;5.530605912E-1;8.848969460E0
6.151239230E-1;-9.816226959E-1;4.884171486E-1;8.923190117E0
6.200689230E-1;-9.313444495E-1;4.118026793E-1;9.038111687E0
6.250139230E-1;-8.427590132E-1;3.447650373E-1;9.145850182E0
6.299589230E-1;-7.541735172E-1;2.705447972E-1;9.275136948E0
6.349020770E-1;-6.751648784E-1;2.394201756E-1;9.425971985E0
6.398470770E-1;-5.626373887E-1;2.106897533E-1;9.540893555E0
6.447910770E-1;-5.003881454E-1;2.250549644E-1;9.646238327E0
6.497360770E-1;-4.357447028E-1;2.154781520E-1;9.720458984E0
6.546810770E-1;-4.165911078E-1;1.915361285E-1;9.785101891E0
6.596260770E-1;-4.213795066E-1;1.963245422E-1;9.866505623E0
6.645710770E-1;-4.405331016E-1;1.963245422E-1;9.940725327E0
6.695160770E-1;-4.644751251E-1;1.675941199E-1;1.001973438E1
6.744600770E-1;-5.195417404E-1;1.340752989E-1;1.007240677E1
6.792830770E-1;-6.081272364E-1;6.464344263E-2;1.015141487E1
6.843500770E-1;-6.919242740E-1;-7.182605099E-3;1.019690514E1
6.892950770E-1;-8.068459630E-1;-9.097966552E-2;1.023042393E1
6.942317310E-1;-8.451532125E-1;-1.364694983E-1;1.026873112E1
6.991767310E-1;-9.289502501E-1;-2.250549644E-1;1.025197124E1
7.041207310E-1;-9.744400978E-1;-2.920926213E-1;1.024957752E1
7.090657310E-1;-1.015141487E0;-3.016694188E-1;1.026633644E1
7.140107310E-1;-1.034295082E0;-3.591302633E-1;1.024957752E1
7.189557310E-1;-1.022324085E0;-3.926490843E-1;1.022084713E1
7.239007310E-1;-9.840168953E-1;-4.429273009E-1;1.010831928E1
7.288457310E-1;-9.624691010E-1;-4.740519226E-1;1.004607010E1
7.337897310E-1;-8.978256583E-1;-4.836287498E-1;9.976638794E0
7.387347310E-1;-8.714894056E-1;-4.764461517E-1;9.931148529E0
7.436797310E-1;-8.451532125E-1;-4.477157295E-1;9.900024414E0
7.486247310E-1;-8.020575643E-1;-4.094084799E-1;9.895236015E0
7.535697310E-1;-7.733271718E-1;-3.447650373E-1;9.878476143E0
7.585147310E-1;-7.517793179E-1;-2.873041928E-1;9.878476143E0
7.634587310E-1;-7.565677166E-1;-2.346317619E-1;9.888052940E0
7.684037310E-1;-7.302315235E-1;-1.628057212E-1;9.904812813E0
7.733487310E-1;-7.326257229E-1;-1.005564705E-1;9.923966408E0
7.782937310E-1;-7.374141216E-1;-6.224924326E-2;9.943120003E0
7.832387310E-1;-7.374141216E-1;-2.873042040E-2;9.947908401E0
7.881837310E-1;-7.493851185E-1;-2.633621916E-2;9.940725327E0
7.931277310E-1;-7.469909191E-1;-6.464344263E-2;9.938331604E0
7.980696920E-1;-7.469909191E-1;-8.619125932E-2;9.938331604E0
8.030021150E-1;-7.302315235E-1;-1.221042871E-1;9.940725327E0
8.079355770E-1;-7.374141216E-1;-1.460463107E-1;9.938331604E0
8.128805770E-1;-6.799532771E-1;-1.939303428E-1;9.933543205E0
8.178255770E-1;-6.751648784E-1;-2.298433632E-1;9.952696800E0
8.227695770E-1;-6.536170840E-1;-2.681505978E-1;9.971850395E0
8.277145770E-1;-6.272808313E-1;-2.849099934E-1;9.986215591E0
8.326595770E-1;-6.368576288E-1;-2.729389966E-1;1.001015759E1
8.376045770E-1;-6.296750307E-1;-3.160346150E-1;1.003170490E1
8.425495770E-1;-6.200982332E-1;-3.184288144E-1;1.007958889E1
8.474945770E-1;-6.153098345E-1;-3.136404157E-1;1.010353088E1
8.524257300E-1;-6.081272364E-1;-2.968810201E-1;1.017296314E1
8.573707300E-1;-6.272808313E-1;-3.112462163E-1;1.020169353E1
8.623148460E-1;-6.320692301E-1;-3.567360640E-1;1.021366405E1
8.672598460E-1;-6.703764796E-1;-3.998316824E-1;1.020887566E1
8.722048460E-1;-7.445967197E-1;-4.333505034E-1;1.020648193E1
8.771498460E-1;-7.924807668E-1;-4.908113480E-1;1.019211674E1
8.820938460E-1;-8.571242094E-1;-5.602431893E-1;1.017056847E1
8.870388460E-1;-9.097966552E-1;-5.770025849E-1;1.017056847E1
8.919838460E-1;-9.433154464E-1;-6.057330370E-1;1.016578007E1
8.969288460E-1;-9.504981041E-1;-5.985504389E-1;1.019690514E1
9.018738460E-1;-9.552865028E-1;-6.177040339E-1;1.018972206E1
