"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.431125000E-1,7.727136612E0,-3.168315125E1,-2.801679230E1,4.299385263E1
6.531365000E-1,7.809591293E0,-3.184846497E1,-2.792444611E1,4.307074561E1
6.631615000E-1,7.680299759E0,-3.177865982E1,-2.821754456E1,4.318680406E1
6.731855000E-1,7.748403549E0,-3.181776047E1,-2.829324341E1,4.327719101E1
6.832105000E-1,7.773004532E0,-3.164216995E1,-2.810955048E1,4.303246852E1
6.932355000E-1,7.606115341E0,-3.160963058E1,-2.802371216E1,4.292260686E1
7.032595000E-1,7.523382187E0,-3.192354584E1,-2.801002502E1,4.313091189E1
7.132845000E-1,7.129911423E0,-3.195355225E1,-2.850241089E1,4.340797812E1
7.233085000E-1,6.888887405E0,-3.196891403E1,-2.811975861E1,4.312990909E1
7.333335000E-1,6.698850632E0,-3.182024384E1,-2.812800598E1,4.299520017E1
7.433585000E-1,6.654642105E0,-3.195519638E1,-2.818132782E1,4.312315010E1
7.533825000E-1,6.838537216E0,-3.188846970E1,-2.836074066E1,4.322003820E1
7.634075000E-1,6.763685226E0,-3.192127609E1,-2.834374237E1,4.322132618E1
7.734315000E-1,6.602315903E0,-3.196700668E1,-2.869400024E1,4.346062289E1
7.834565000E-1,6.512716293E0,-3.184122849E1,-2.868239594E1,4.334696231E1
7.934805000E-1,6.408552170E0,-3.179603958E1,-2.865231323E1,4.327831706E1
8.035055000E-1,6.327928543E0,-3.196258545E1,-2.822796631E1,4.310994816E1
8.135305000E-1,6.449872971E0,-3.188786697E1,-2.806443024E1,4.296567428E1
8.235545000E-1,6.369764328E0,-3.198113251E1,-2.847270203E1,4.329043191E1
8.335795000E-1,6.378160477E0,-3.208912277E1,-2.828260803E1,4.324694959E1
8.436035000E-1,5.990915298E0,-3.213570404E1,-2.843740845E1,4.332759790E1
8.536285000E-1,6.060804367E0,-3.198967743E1,-2.828868866E1,4.313145856E1
8.636535000E-1,6.021062851E0,-3.227151489E1,-2.799118042E1,4.314174374E1
8.736775000E-1,6.018285751E0,-3.215134430E1,-2.803502655E1,4.308005823E1
8.837025000E-1,6.003515244E0,-3.210049438E1,-2.807178497E1,4.306401104E1
8.937265000E-1,5.993165970E0,-3.215688705E1,-2.781779480E1,4.293964521E1
9.037515000E-1,5.698041916E0,-3.230256653E1,-2.785271454E1,4.303135128E1
9.137765000E-1,5.798471451E0,-3.221960831E1,-2.827617645E1,4.325815051E1
9.238005000E-1,5.693288803E0,-3.230027771E1,-2.810402679E1,4.319210344E1
9.338255000E-1,5.632452011E0,-3.243532181E1,-2.831705475E1,4.342384375E1
9.438495000E-1,5.661813736E0,-3.241360855E1,-2.797350311E1,4.318813530E1
9.538745000E-1,5.519376755E0,-3.253197098E1,-2.771440887E1,4.309154342E1
9.638985000E-1,5.590978622E0,-3.242202377E1,-2.823174286E1,4.335294652E1
9.739235000E-1,5.520315170E0,-3.266976547E1,-2.825061035E1,4.354175514E1
9.839485000E-1,5.513914108E0,-3.251985168E1,-2.797352600E1,4.324883998E1
9.939725000E-1,5.652330399E0,-3.252644730E1,-2.802587891E1,4.330552506E1
1.003997500E0,5.513196945E0,-3.268064499E1,-2.828784943E1,4.357318353E1
1.014021500E0,5.413278580E0,-3.278276825E1,-2.775029755E1,4.329078993E1
1.024046500E0,5.437822342E0,-3.251402283E1,-2.786824036E1,4.316677441E1
1.034071500E0,5.357263565E0,-3.270139694E1,-2.777717590E1,4.323948584E1
1.044095500E0,5.234682083E0,-3.261560059E1,-2.757413483E1,4.302920182E1
1.054120500E0,5.502046585E0,-3.270418549E1,-2.754563141E1,4.311146106E1
1.064144500E0,5.566526413E0,-3.280165100E1,-2.752869415E1,4.318290780E1
1.074169500E0,5.265378952E0,-3.307476044E1,-2.722039032E1,4.315800786E1
1.084193500E0,5.270467758E0,-3.306408310E1,-2.739043427E1,4.325791616E1
1.094218500E0,5.420743942E0,-3.334189987E1,-2.741548920E1,4.350489398E1
1.104243500E0,5.436761856E0,-3.342648315E1,-2.729138947E1,4.349377076E1
1.114267500E0,5.120279312E0,-3.361749268E1,-2.666015625E1,4.321014933E1
1.124292500E0,5.371942520E0,-3.366016388E1,-2.635287476E1,4.308524581E1
1.134316500E0,5.238172531E0,-3.353351212E1,-2.676789093E1,4.322562748E1
1.144341500E0,5.286436081E0,-3.369569016E1,-2.648374176E1,4.318257194E1
1.154366500E0,5.306173325E0,-3.387557983E1,-2.658364105E1,4.338663799E1
1.164391250E0,5.427663803E0,-3.396667480E1,-2.696337128E1,4.370603988E1
1.174416250E0,5.485601425E0,-3.394646072E1,-2.634104156E1,4.331633052E1
1.184440250E0,5.201128006E0,-3.400256729E1,-2.604700470E1,4.314710615E1
1.194465250E0,5.346487045E0,-3.397654343E1,-2.588294220E1,4.304552385E1
1.204490250E0,5.328714371E0,-3.411623001E1,-2.585604095E1,4.313753819E1
1.214514250E0,5.372068405E0,-3.420763779E1,-2.589797211E1,4.324033489E1
1.224539250E0,5.231756210E0,-3.425072861E1,-2.592234039E1,4.327183165E1
1.234563250E0,5.315118790E0,-3.456361771E1,-2.573901367E1,4.342108913E1
1.244588250E0,5.306467056E0,-3.444853973E1,-2.546746826E1,4.316772431E1
1.254612250E0,4.875322342E0,-3.457975769E1,-2.533831024E1,4.314578051E1
1.264637250E0,5.100343704E0,-3.483966064E1,-2.542217255E1,4.342927949E1
1.274662250E0,5.010408401E0,-3.510714722E1,-2.504521942E1,4.341519312E1
1.284686250E0,5.131563187E0,-3.502231216E1,-2.500312042E1,4.333648949E1
1.294711250E0,5.135679245E0,-3.511230087E1,-2.462810516E1,4.319481957E1
1.304735250E0,5.043966293E0,-3.527714920E1,-2.410527802E1,4.302305521E1
1.314760250E0,4.897821426E0,-3.564079285E1,-2.398636627E1,4.323887760E1
1.324785250E0,5.057516098E0,-3.556344223E1,-2.405801392E1,4.323337745E1
1.334809250E0,4.983514786E0,-3.567904663E1,-2.356322479E1,4.304712941E1
1.344834250E0,4.775384903E0,-3.589454269E1,-2.358726501E1,4.321552461E1
1.354858250E0,4.723211288E0,-3.594458771E1,-2.317195892E1,4.302629185E1
1.364883250E0,4.772493362E0,-3.619384003E1,-2.314979553E1,4.322827526E1
1.374907250E0,4.772264481E0,-3.633727264E1,-2.314687347E1,4.334685275E1
1.384932250E0,4.703691483E0,-3.658642578E1,-2.277136993E1,4.335004676E1
1.394957250E0,4.481626511E0,-3.648832703E1,-2.248161316E1,4.309183119E1
1.404981250E0,4.350637436E0,-3.667502594E1,-2.227093506E1,4.312748685E1
1.415006250E0,4.384672165E0,-3.665293884E1,-2.209061432E1,4.301928076E1
1.425030250E0,4.474119186E0,-3.672231293E1,-2.208008575E1,4.308220278E1
1.435055250E0,4.260255814E0,-3.690552139E1,-2.174667358E1,4.304747496E1
1.445080250E0,4.200380325E0,-3.727860641E1,-2.176235962E1,4.336978196E1
1.455104250E0,4.277795792E0,-3.716368866E1,-2.192369080E1,4.335997590E1
1.465129250E0,4.533018112E0,-3.722439957E1,-2.151538086E1,4.323327179E1
1.475153250E0,4.503679276E0,-3.748759460E1,-2.110095215E1,4.325335892E1
1.485178250E0,4.411832809E0,-3.742325974E1,-2.120829010E1,4.324067769E1
1.495202250E0,4.470869064E0,-3.753596115E1,-2.114127350E1,4.331155152E1
1.505227250E0,4.450479507E0,-3.752769089E1,-2.119817352E1,4.333009245E1
1.515252250E0,4.428052902E0,-3.763874435E1,-2.071211243E1,4.318882182E1
1.525276250E0,4.478761673E0,-3.770598984E1,-2.071860504E1,4.325576922E1
1.535301250E0,4.585531235E0,-3.777412033E1,-2.032216644E1,4.313817002E1
1.545325250E0,4.691480637E0,-3.783273315E1,-2.032141876E1,4.320052950E1
1.555350250E0,4.600912094E0,-3.773456955E1,-2.028384399E1,4.308712636E1
1.565375250E0,4.724718094E0,-3.753793335E1,-2.028364563E1,4.292837851E1
1.575399250E0,4.672235489E0,-3.793240738E1,-2.012812805E1,4.319535684E1
1.585424250E0,4.475446701E0,-3.793017960E1,-1.984072876E1,4.303931534E1
1.595448250E0,4.761919022E0,-3.807128906E1,-1.985515594E1,4.320099699E1
1.605473250E0,4.945909500E0,-3.823390579E1,-1.995216370E1,4.340947372E1
1.615498250E0,4.785543442E0,-3.824457932E1,-1.963748932E1,4.325714114E1
1.625522250E0,4.971975327E0,-3.816190720E1,-1.952648163E1,4.315478171E1
1.635547250E0,5.016107559E0,-3.821999741E1,-1.939954376E1,4.315404772E1
1.645571250E0,5.313310623E0,-3.825721359E1,-1.922043610E1,4.314244807E1
1.655596250E0,5.075330734E0,-3.814561462E1,-1.915572357E1,4.298591214E1
1.665620250E0,5.201860428E0,-3.812412262E1,-1.921804047E1,4.300977978E1
1.675645250E0,5.061151505E0,-3.811070251E1,-1.891215515E1,4.284519242E1
1.685670250E0,5.259237289E0,-3.804669189E1,-1.910702515E1,4.289858682E1
1.695694250E0,5.560659409E0,-3.791775513E1,-1.912068939E1,4.282847008E1
1.705719250E0,5.612409592E0,-3.816593170E1,-1.880166626E1,4.291433488E1
1.715743250E0,5.524168015E0,-3.825880051E1,-1.879370880E1,4.298203973E1
1.725768250E0,5.593290329E0,-3.825035477E1,-1.901397705E1,4.308022586E1
1.735793250E0,5.945714951E0,-3.834729004E1,-1.871620941E1,4.308320641E1
1.745817250E0,6.000074387E0,-3.840334702E1,-1.842886353E1,4.301675215E1
1.755842250E0,5.949121475E0,-3.843323898E1,-1.818576813E1,4.293283205E1
1.765866250E0,6.325498581E0,-3.858901596E1,-1.814105225E1,4.310709758E1
1.775891250E0,6.141981125E0,-3.881536484E1,-1.793026733E1,4.319549706E1
1.785915250E0,5.951566696E0,-3.847532654E1,-1.814803314E1,4.295489501E1
1.795940250E0,6.071657181E0,-3.855275726E1,-1.850009155E1,4.319066451E1
1.805965250E0,6.089307785E0,-3.838473511E1,-1.861046600E1,4.309079952E1
1.815989250E0,6.326646805E0,-3.844855118E1,-1.831570435E1,4.305557540E1
1.826014250E0,6.186410904E0,-3.871391678E1,-1.797072601E1,4.312755529E1
1.836038250E0,6.483209610E0,-3.846549988E1,-1.790783691E1,4.292222397E1
1.846063250E0,6.378389359E0,-3.845180130E1,-1.805863953E1,4.295741305E1
1.856088250E0,6.859685898E0,-3.839765930E1,-1.811928558E1,4.300865076E1
1.866112250E0,6.930265427E0,-3.853039932E1,-1.793497467E1,4.306139300E1
1.876137250E0,6.771921158E0,-3.854053879E1,-1.788896942E1,4.302612315E1
1.886161250E0,6.797315598E0,-3.851151657E1,-1.793135071E1,4.302178223E1
1.896186250E0,6.907930374E0,-3.859846878E1,-1.773968506E1,4.303786380E1
1.906210250E0,7.009611130E0,-3.855022049E1,-1.763473511E1,4.296787207E1
1.916235250E0,7.104276657E0,-3.837195969E1,-1.740348816E1,4.272890634E1
1.926260250E0,7.288007736E0,-3.878885651E1,-1.759812927E1,4.321324565E1
1.936284250E0,7.224195480E0,-3.856658173E1,-1.761449432E1,4.300977373E1
1.946309250E0,7.054292679E0,-3.853366852E1,-1.736502838E1,4.285033098E1
1.956333250E0,7.242712021E0,-3.841432953E1,-1.770963287E1,4.291559958E1
1.966358250E0,7.120756149E0,-3.850606537E1,-1.770460510E1,4.297528685E1
1.976383250E0,7.112581253E0,-3.866162491E1,-1.761619568E1,4.307714479E1
1.986407250E0,7.059408188E0,-3.865639496E1,-1.773019409E1,4.311046158E1
1.996432250E0,7.201631546E0,-3.851656723E1,-1.776724243E1,4.302399739E1
2.006456250E0,7.231966019E0,-3.856694794E1,-1.809843445E1,4.321185179E1
2.016481250E0,7.280683517E0,-3.853331375E1,-1.787023926E1,4.309489613E1
2.026505250E0,7.310815811E0,-3.839858627E1,-1.769032288E1,4.290509269E1
2.036530250E0,7.328973770E0,-3.838215256E1,-1.762002563E1,4.286454006E1
2.046555250E0,7.268560410E0,-3.841292953E1,-1.751844025E1,4.284017827E1
2.056579250E0,7.199132919E0,-3.825113678E1,-1.776744843E1,4.278620342E1
2.066604250E0,7.498128891E0,-3.816126251E1,-1.777361298E1,4.275985514E1
2.076628250E0,7.518320084E0,-3.819448853E1,-1.757473755E1,4.271083575E1
2.086653250E0,7.527387619E0,-3.821519852E1,-1.777236176E1,4.281261268E1
2.096678250E0,7.624738693E0,-3.825021744E1,-1.813936615E1,4.301456008E1
2.106702250E0,7.637678146E0,-3.800978088E1,-1.845679474E1,4.293868701E1
2.116727250E0,7.848131180E0,-3.801403046E1,-1.857666016E1,4.303198784E1
2.126751250E0,7.603261948E0,-3.813902664E1,-1.863008118E1,4.312162880E1
2.136776250E0,7.341897964E0,-3.804833603E1,-1.859587860E1,4.298122894E1
2.146801250E0,7.630861282E0,-3.777979660E1,-1.897287750E1,4.295943617E1
2.156825250E0,7.466279984E0,-3.793519211E1,-1.896780396E1,4.306508707E1
2.166850583E0,7.626733780E0,-3.776699066E1,-1.906388855E1,4.298772497E1
2.176874583E0,8.020772934E0,-3.787013245E1,-1.899098969E1,4.311771584E1
2.186899583E0,8.000574112E0,-3.762380600E1,-1.883558655E1,4.282918730E1
2.196923583E0,7.787675858E0,-3.759381485E1,-1.899523163E1,4.283411765E1
2.206948583E0,7.767286301E0,-3.749534225E1,-1.921947479E1,4.284413190E1
2.216973583E0,7.885126114E0,-3.745157242E1,-1.944065094E1,4.292708235E1
2.226997583E0,8.228776932E0,-3.732950974E1,-1.963106537E1,4.297189540E1
2.237022583E0,8.212240219E0,-3.713423920E1,-1.979722595E1,4.287566636E1
2.247046583E0,8.194181442E0,-3.703850174E1,-1.998722076E1,4.287754907E1
2.257071583E0,8.207063675E0,-3.694821548E1,-2.034842682E1,4.297190938E1
2.267095583E0,8.211767197E0,-3.695680618E1,-2.025755310E1,4.293724608E1
2.277120583E0,7.932085037E0,-3.699025345E1,-2.009646606E1,4.283765600E1
2.287145583E0,7.850793839E0,-3.677068710E1,-2.052227783E1,4.283552593E1
2.297169583E0,8.186803818E0,-3.697599030E1,-2.066123962E1,4.314086738E1
2.307194583E0,8.198492050E0,-3.698672867E1,-2.130014038E1,4.346181485E1
2.317218583E0,7.987470627E0,-3.664937973E1,-2.078746796E1,4.288467728E1
2.327243583E0,8.095136642E0,-3.645555115E1,-2.106183624E1,4.287352788E1
2.337268583E0,8.384096146E0,-3.641895294E1,-2.078851318E1,4.276441841E1
2.347292583E0,8.708387375E0,-3.636609268E1,-2.111058807E1,4.294165386E1
2.357317583E0,8.775796890E0,-3.636263275E1,-2.119399261E1,4.299349945E1
2.367341583E0,9.133695602E0,-3.626678848E1,-2.138763428E1,4.308288804E1
2.377366583E0,9.295843124E0,-3.589696503E1,-2.137442780E1,4.280036169E1
2.387390583E0,9.594076157E0,-3.594221878E1,-2.182163239E1,4.312856395E1
2.397415583E0,9.930112839E0,-3.537204361E1,-2.238870239E1,4.302374466E1
2.407440583E0,1.020738792E1,-3.466813278E1,-2.316973877E1,4.292909262E1
2.417464583E0,1.041227913E1,-3.415458298E1,-2.361083984E1,4.280680849E1
2.427489583E0,1.108481407E1,-3.375303268E1,-2.428829956E1,4.303558776E1
2.437513583E0,1.130180931E1,-3.362105179E1,-2.451331329E1,4.311622138E1
2.447538583E0,1.166745949E1,-3.306495667E1,-2.514670563E1,4.314832296E1
2.457563583E0,1.186413765E1,-3.278141785E1,-2.548792267E1,4.318579998E1
2.467587583E0,1.226056099E1,-3.207508850E1,-2.591101074E1,4.301759100E1
2.477612583E0,1.238902092E1,-3.163431549E1,-2.638420868E1,4.301562767E1
2.487636583E0,1.250178719E1,-3.100386810E1,-2.710440826E1,4.303700114E1
2.497661583E0,1.266892052E1,-3.056939697E1,-2.800963593E1,4.335353830E1
2.507685583E0,1.265948677E1,-3.000055695E1,-2.833224487E1,4.316262413E1
2.517710583E0,1.290015221E1,-2.965995216E1,-2.883197784E1,4.332908533E1
2.527735583E0,1.322684288E1,-2.904957962E1,-2.891082764E1,4.306580318E1
2.537759583E0,1.325321388E1,-2.852441025E1,-2.946329498E1,4.309727845E1
2.547784583E0,1.333681297E1,-2.794300842E1,-3.004220581E1,4.314181765E1
2.557808583E0,1.330591774E1,-2.725551987E1,-3.064186859E1,4.311420788E1
2.567833583E0,1.335732841E1,-2.657985687E1,-3.148311615E1,4.331389634E1
2.577858583E0,1.306158257E1,-2.590373993E1,-3.202420807E1,4.321063045E1
2.587882583E0,1.300566292E1,-2.483538818E1,-3.296226501E1,4.327186949E1
2.597907583E0,1.268245125E1,-2.382015991E1,-3.404730225E1,4.344494652E1
2.607931583E0,1.209404564E1,-2.299124527E1,-3.520732117E1,4.375407138E1
2.617956583E0,1.121027184E1,-2.204336548E1,-3.601710510E1,4.368995326E1
2.627980583E0,9.900644302E0,-2.128293800E1,-3.660794067E1,4.348709611E1
2.638005583E0,9.317190170E0,-2.048282242E1,-3.735172272E1,4.360627520E1
2.648030583E0,8.761693954E0,-2.004304886E1,-3.778256226E1,4.365790993E1
2.658054583E0,8.454679489E0,-1.936410522E1,-3.815296173E1,4.361305613E1
2.668079583E0,8.404588699E0,-1.913197899E1,-3.864762878E1,4.393528129E1
2.678103583E0,8.024133682E0,-1.911089706E1,-3.851185608E1,4.373529658E1
2.688128583E0,7.854887009E0,-1.926900864E1,-3.874042511E1,4.397515755E1
2.698153583E0,7.739942551E0,-1.934983444E1,-3.840501404E1,4.369517029E1
2.708177583E0,7.963582993E0,-1.939089394E1,-3.848438263E1,4.382320308E1
2.718202583E0,7.958230972E0,-1.966292572E1,-3.785738373E1,4.339522544E1
2.728226583E0,7.963060379E0,-2.009006500E1,-3.755723572E1,4.333090118E1
2.738251583E0,8.059087753E0,-2.043391609E1,-3.734589386E1,4.332677706E1
2.748275583E0,8.404138565E0,-2.062331963E1,-3.743743134E1,4.356044217E1
2.758300583E0,8.062276840E0,-2.107861710E1,-3.706101227E1,4.339155490E1
2.768325583E0,8.059656143E0,-2.150151253E1,-3.692973328E1,4.348653008E1
2.778349583E0,8.008420944E0,-2.211254692E1,-3.651335144E1,4.343183591E1
2.788374583E0,7.997377396E0,-2.269452667E1,-3.613716125E1,4.341536605E1
2.798398583E0,7.656885147E0,-2.312770271E1,-3.606633759E1,4.352354799E1
2.808423583E0,7.350030899E0,-2.377681160E1,-3.564738464E1,4.347523152E1
2.818448583E0,7.512006760E0,-2.417593384E1,-3.525566101E1,4.340354428E1
2.828472583E0,7.446264267E0,-2.465915298E1,-3.528307343E1,4.368542031E1
2.838497583E0,7.315629959E0,-2.542592430E1,-3.418992615E1,4.323132103E1
2.848521583E0,7.248540878E0,-2.592871284E1,-3.371569061E1,4.314611556E1
2.858546583E0,7.268480301E0,-2.678059769E1,-3.305120850E1,4.315569026E1
2.868570583E0,7.577840805E0,-2.763827705E1,-3.288500977E1,4.362020056E1
2.878595583E0,7.669816971E0,-2.830881500E1,-3.186066437E1,4.330493082E1
2.888620583E0,7.852869034E0,-2.908485031E1,-3.078271484E1,4.307170304E1
2.898644583E0,7.964784622E0,-2.999470329E1,-2.949666595E1,4.281557336E1
2.908669583E0,7.515581131E0,-3.092087555E1,-2.908665466E1,4.311169196E1
2.918693583E0,7.015748978E0,-3.120107269E1,-2.915061188E1,4.327222947E1
2.928718583E0,6.666055679E0,-3.125145721E1,-2.902547455E1,4.316906357E1
2.938743583E0,6.122018814E0,-3.121475601E1,-2.919084930E1,4.317343848E1
2.948767583E0,5.733720779E0,-3.131079483E1,-2.945961761E1,4.337177074E1
2.958792583E0,5.512804031E0,-3.127658463E1,-2.969217682E1,4.347690327E1
2.968816583E0,5.083192825E0,-3.142448425E1,-2.925259399E1,4.323252613E1
2.978841583E0,4.509840012E0,-3.136336899E1,-2.939150238E1,4.321874574E1
2.988865583E0,4.311521530E0,-3.154539871E1,-2.937638855E1,4.332059097E1
2.998890583E0,3.922498703E0,-3.161866760E1,-2.937701416E1,4.333745606E1
3.008915583E0,3.760049820E0,-3.153029251E1,-2.946935272E1,4.332135813E1
3.018939583E0,3.495702744E0,-3.161102676E1,-2.991003418E1,4.365875737E1
3.028964583E0,3.479589462E0,-3.137807846E1,-2.973503876E1,4.336892759E1
3.038988583E0,3.478178024E0,-3.133913422E1,-2.960813141E1,4.325367616E1
3.049013583E0,3.604368210E0,-3.124378967E1,-3.000155640E1,4.346560996E1
3.059038583E0,4.246339798E0,-3.123895645E1,-2.994674683E1,4.348231189E1
3.069062583E0,4.412786484E0,-3.120565033E1,-3.003862762E1,4.353831010E1
3.079087583E0,4.252897263E0,-3.093654633E1,-3.020137024E1,4.344283368E1
3.089111583E0,4.322980881E0,-3.073549271E1,-3.009575653E1,4.323324227E1
3.099136583E0,3.927495956E0,-3.087681198E1,-2.994438171E1,4.319107244E1
3.109160583E0,3.695833206E0,-3.078374863E1,-2.995748901E1,4.311321735E1
3.119185583E0,3.488492966E0,-3.117391205E1,-3.018697357E1,4.353430543E1
3.129210583E0,3.299856186E0,-3.099829102E1,-3.035972595E1,4.351432013E1
3.139234583E0,3.252840042E0,-3.102947998E1,-2.983334351E1,4.316755704E1
3.149259583E0,3.455450058E0,-3.125539780E1,-3.009751892E1,4.352815953E1
3.159283583E0,3.642702103E0,-3.131701279E1,-2.989276886E1,4.344654415E1
3.169308333E0,3.384092331E0,-3.117940903E1,-3.009046173E1,4.346312823E1
3.179333333E0,3.240526199E0,-3.131169510E1,-3.008538055E1,4.354369510E1
3.189357333E0,3.515184402E0,-3.097601700E1,-3.049958038E1,4.361300900E1
3.199382333E0,3.783369064E0,-3.088655853E1,-3.040472412E1,4.350563904E1
3.209406333E0,3.637895584E0,-3.076420975E1,-3.033657837E1,4.335872315E1
3.219431333E0,3.564901352E0,-3.073788071E1,-3.048190308E1,4.343584058E1
3.229455333E0,3.762903214E0,-3.072165298E1,-3.049729156E1,4.345186067E1
3.239480333E0,3.752340317E0,-3.083390045E1,-3.057329559E1,4.358366527E1
3.249505333E0,3.774148941E0,-3.084357071E1,-3.034074402E1,4.342960743E1
3.259529333E0,3.746057510E0,-3.114123917E1,-3.002189636E1,4.341801452E1
3.269554333E0,3.543081284E0,-3.140533066E1,-2.991345978E1,4.351624173E1
3.279578333E0,3.776014328E0,-3.141357803E1,-2.968340302E1,4.338404757E1
3.289603333E0,3.683351517E0,-3.147187805E1,-2.960436249E1,4.336432249E1
