"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.286952208E0,-7.469669342E0,-1.069807243E1,-3.845233917E1,4.060575208E1
6.296977208E0,-7.252513885E0,-1.248743629E1,-3.785992432E1,4.052047497E1
6.307001208E0,-6.857999802E0,-1.450890923E1,-3.718827057E1,4.050318600E1
6.317026208E0,-6.839179993E0,-1.628079605E1,-3.628828430E1,4.035688641E1
6.327050208E0,-6.208000183E0,-1.788362312E1,-3.548751068E1,4.022097285E1
6.337075208E0,-5.852546692E0,-1.950818634E1,-3.468229675E1,4.022043442E1
6.347099208E0,-5.053958893E0,-2.109051132E1,-3.354212952E1,3.994279185E1
6.357124208E0,-4.327627182E0,-2.278054047E1,-3.292015839E1,4.026683759E1
6.367149208E0,-3.692878723E0,-2.426382446E1,-3.209175110E1,4.040112646E1
6.377173208E0,-2.810642242E0,-2.536469269E1,-3.127153778E1,4.036305762E1
6.387198208E0,-2.353509903E0,-2.679480362E1,-3.035522461E1,4.055786201E1
6.397222208E0,-1.806402206E0,-2.805344963E1,-2.925425720E1,4.057179673E1
6.407247208E0,-1.340841293E0,-2.922812271E1,-2.759345245E1,4.021790187E1
6.417271208E0,-7.521800995E-1,-3.026759720E1,-2.652076721E1,4.024977402E1
6.427296208E0,-2.323284149E-1,-3.129828644E1,-2.524069214E1,4.020857185E1
6.437321208E0,4.690456390E-1,-3.237349701E1,-2.367519379E1,4.010957633E1
6.447345208E0,1.283823013E0,-3.351361465E1,-2.215576935E1,4.019563016E1
6.457370208E0,2.384641647E0,-3.446162415E1,-2.088295746E1,4.036567808E1
6.467394208E0,3.130010605E0,-3.531052017E1,-1.900154877E1,4.022050045E1
6.477419208E0,3.834440231E0,-3.609199524E1,-1.759341431E1,4.033439325E1
6.487444208E0,4.741811752E0,-3.661646652E1,-1.568045044E1,4.011392433E1
6.497468208E0,5.947839737E0,-3.730351257E1,-1.400644684E1,4.028783192E1
6.507493208E0,6.676706314E0,-3.810356903E1,-1.202350616E1,4.050956777E1
6.517517208E0,7.358808517E0,-3.856376266E1,-1.015563202E1,4.055185218E1
6.527542208E0,8.145910263E0,-3.877920532E1,-7.603492737E0,4.034842898E1
6.537566208E0,9.078680038E0,-3.925569153E1,-5.550491333E0,4.067234567E1
6.547591208E0,9.760282516E0,-3.950045013E1,-3.591728210E0,4.084665454E1
6.557615208E0,1.072415733E1,-3.931940460E1,-1.091957092E0,4.077027715E1
6.567640208E0,1.126058769E1,-3.908176041E1,1.431861877E0,4.069686794E1
6.577665208E0,1.190294075E1,-3.861912918E1,3.925956726E0,4.060209691E1
6.587689208E0,1.273496819E1,-3.819911194E1,5.907180786E0,4.069700668E1
6.597714208E0,1.341175270E1,-3.752301025E1,8.776557922E0,4.080293345E1
6.607738208E0,1.466863060E1,-3.610113525E1,1.316007996E1,4.112965347E1
6.617763208E0,1.523741722E1,-3.506061554E1,1.518527985E1,4.113415089E1
6.627788208E0,1.542064857E1,-3.395895767E1,1.733326721E1,4.112723381E1
6.637812208E0,1.509560966E1,-3.278311920E1,1.926664352E1,4.091227063E1
6.647837208E0,1.508101845E1,-3.162046432E1,2.128727341E1,4.099315663E1
6.657861208E0,1.475755119E1,-3.045136642E1,2.294589615E1,4.088502396E1
6.667886208E0,1.493383598E1,-2.951212692E1,2.487374496E1,4.138463823E1
6.677910208E0,1.489194298E1,-2.816795731E1,2.575667572E1,4.097084486E1
6.687935208E0,1.473001289E1,-2.711540413E1,2.734632111E1,4.123153767E1
6.697960208E0,1.473974037E1,-2.565684128E1,2.877378845E1,4.127304632E1
6.707984208E0,1.468649864E1,-2.387825012E1,3.000229645E1,4.106095303E1
6.718009208E0,1.479681206E1,-2.222908592E1,3.173840332E1,4.147775492E1
6.728033208E0,1.508533669E1,-2.056447220E1,3.278553009E1,4.153740342E1
6.738058208E0,1.484911919E1,-1.894711304E1,3.409569550E1,4.173734400E1
6.748082208E0,1.475808144E1,-1.728873634E1,3.453784180E1,4.134687277E1
6.758107208E0,1.432872963E1,-1.575097370E1,3.572458649E1,4.158908204E1
6.768132208E0,1.404649162E1,-1.443997765E1,3.683701706E1,4.198550592E1
6.778156208E0,1.392673683E1,-1.307767105E1,3.716705322E1,4.178958392E1
6.788181208E0,1.383548546E1,-1.185708809E1,3.792300797E1,4.207333751E1
6.798205208E0,1.346690559E1,-1.045309544E1,3.806600571E1,4.170905826E1
6.808230208E0,1.343943977E1,-8.954233170E0,3.887975311E1,4.210026170E1
6.818254208E0,1.292664909E1,-7.498635292E0,3.893724060E1,4.170655217E1
6.828279208E0,1.263600349E1,-6.019471169E0,3.942180252E1,4.183277580E1
6.838304208E0,1.237272072E1,-4.351192474E0,3.968586731E1,4.179695154E1
6.848328208E0,1.190466881E1,-2.765191078E0,3.979318237E1,4.162769252E1
6.858353208E0,1.158083153E1,-1.353465080E0,4.037221146E1,4.202217253E1
6.868377208E0,1.109004402E1,1.668539047E-1,4.029727173E1,4.179577760E1
6.878402208E0,1.059428215E1,1.801762581E0,4.068904495E1,4.208424339E1
6.888426208E0,9.830286026E0,3.343094826E0,4.083579636E1,4.213517616E1
6.898451208E0,9.086050034E0,4.580441475E0,4.085226059E1,4.210040314E1
6.908476208E0,8.303731918E0,5.863419533E0,4.093475723E1,4.217802748E1
6.918500208E0,7.194501877E0,7.571888924E0,4.116860962E1,4.247291816E1
6.928525208E0,6.578615189E0,8.929024696E0,4.072001648E1,4.220338140E1
6.938549208E0,5.645582199E0,1.048891163E1,4.077225113E1,4.247665627E1
6.948574208E0,4.756082535E0,1.189762592E1,4.083538818E1,4.279839660E1
6.958598208E0,3.941961288E0,1.349578190E1,4.040588760E1,4.278213343E1
6.968623208E0,2.941484451E0,1.513547611E1,3.952293396E1,4.242401769E1
6.978648208E0,1.745878220E0,1.646459961E1,3.944292068E1,4.277703967E1
6.988672208E0,6.123313904E-1,1.783222961E1,3.910849380E1,4.298648218E1
6.998697208E0,-4.477920532E-1,1.917001343E1,3.868695831E1,4.317835889E1
7.008721208E0,-2.011119843E0,2.043562317E1,3.755034637E1,4.279822204E1
7.018746208E0,-3.545177460E0,2.181520462E1,3.702625275E1,4.312093260E1
7.028771208E0,-5.166193008E0,2.302007294E1,3.659231567E1,4.353861360E1
7.038795208E0,-6.632322311E0,2.400348663E1,3.584972382E1,4.365040398E1
7.048820208E0,-8.267318726E0,2.485807037E1,3.464503860E1,4.343444395E1
7.058844208E0,-9.815160751E0,2.573633957E1,3.392260361E1,4.369713481E1
7.068869208E0,-1.146814156E1,2.641547775E1,3.302818298E1,4.381959159E1
7.078893208E0,-1.310262299E1,2.718042755E1,3.216108322E1,4.409976922E1
7.088918208E0,-1.428029919E1,2.797955704E1,3.098780060E1,4.412512145E1
7.098943208E0,-1.598721313E1,2.845169067E1,2.984832001E1,4.422682323E1
7.108967208E0,-1.744826317E1,2.896158600E1,2.898867035E1,4.453715707E1
7.118992208E0,-1.870746231E1,2.943168640E1,2.795906830E1,4.469790611E1
7.129016208E0,-2.024077225E1,2.963630295E1,2.682771683E1,4.480765229E1
7.139041208E0,-2.175219727E1,2.991173553E1,2.554971313E1,4.495172800E1
7.149065208E0,-2.323858261E1,3.008206177E1,2.429131699E1,4.511130948E1
7.159090208E0,-2.439242554E1,3.004661560E1,2.328589249E1,4.516660627E1
7.169115458E0,-2.597558212E1,2.972800827E1,2.205894470E1,4.522258710E1
7.179139458E0,-2.747463226E1,2.949312973E1,2.137301636E1,4.562352406E1
7.189164458E0,-2.861842537E1,2.894523239E1,2.064231110E1,4.563930057E1
7.199188458E0,-2.985868645E1,2.861151886E1,1.970934677E1,4.581068127E1
7.209213458E0,-3.096446609E1,2.802485275E1,1.871386719E1,4.576460813E1
7.219237458E0,-3.201288986E1,2.731505203E1,1.808668900E1,4.580464500E1
7.229262458E0,-3.332848740E1,2.667921066E1,1.711067581E1,4.599286445E1
7.239287458E0,-3.476675797E1,2.557201385E1,1.632659912E1,4.614339813E1
7.249311458E0,-3.599206161E1,2.446813583E1,1.532145309E1,4.613962609E1
7.259336458E0,-3.725264359E1,2.328343582E1,1.475361633E1,4.634163390E1
7.269360458E0,-3.824346161E1,2.224921799E1,1.385615921E1,4.636359784E1
7.279385458E0,-3.937541962E1,2.086751556E1,1.350803375E1,4.656547918E1
7.289409458E0,-4.034902191E1,1.929605103E1,1.338679504E1,4.668605184E1
7.299434458E0,-4.080786896E1,1.774797440E1,1.298175812E1,4.635513788E1
7.309459458E0,-4.133722305E1,1.604452896E1,1.271855545E1,4.612975799E1
7.319483458E0,-4.185116577E1,1.436294842E1,1.228172684E1,4.592009558E1
7.329508458E0,-4.244026947E1,1.236083126E1,1.265634918E1,4.597988470E1
7.339532458E0,-4.299998093E1,1.036876583E1,1.236112213E1,4.592719243E1
7.349557458E0,-4.367102051E1,8.207392693E0,1.248587418E1,4.615643380E1
7.359581458E0,-4.414561462E1,6.018692970E0,1.160665131E1,4.604100683E1
7.369606458E0,-4.421017075E1,3.810975075E0,1.152846527E1,4.584722718E1
7.379631458E0,-4.429673767E1,1.540336609E0,1.168066406E1,4.583679219E1
7.389655458E0,-4.407139587E1,-7.971343994E-1,1.190644073E1,4.565836932E1
7.399680458E0,-4.365252686E1,-2.939312935E0,1.220169067E1,4.542096341E1
7.409704458E0,-4.298887634E1,-5.373626709E0,1.255456161E1,4.510583522E1
7.419729458E0,-4.230769348E1,-7.806235790E0,1.303107071E1,4.495205278E1
7.429753458E0,-4.156409454E1,-9.875468254E0,1.323006821E1,4.472285247E1
7.439778458E0,-4.096677399E1,-1.211807632E1,1.345959091E1,4.479157211E1
7.449803458E0,-3.985092545E1,-1.419013786E1,1.347945023E1,4.439765590E1
7.459827458E0,-3.895388794E1,-1.615772629E1,1.364544678E1,4.432466269E1
7.469852458E0,-3.787763596E1,-1.810012245E1,1.405361938E1,4.427001193E1
7.479876458E0,-3.715527344E1,-1.992376518E1,1.440510178E1,4.455308879E1
7.489901458E0,-3.561511230E1,-2.158791161E1,1.473825073E1,4.417793778E1
7.499925458E0,-3.417955780E1,-2.370177078E1,1.478428268E1,4.414284907E1
7.509950458E0,-3.264625931E1,-2.570275879E1,1.496050262E1,4.416137107E1
7.519975458E0,-3.095024872E1,-2.742393875E1,1.450550842E1,4.382236971E1
7.529999458E0,-2.953165436E1,-2.910674667E1,1.429587936E1,4.385993021E1
7.540024458E0,-2.793865585E1,-3.063285065E1,1.385686111E1,4.371444418E1
7.550048458E0,-2.664800453E1,-3.210062408E1,1.323189545E1,4.376813075E1
7.560073458E0,-2.529137802E1,-3.308241653E1,1.254171371E1,4.349016750E1
7.570097458E0,-2.364504051E1,-3.421539688E1,1.162995911E1,4.318607731E1
7.580122458E0,-2.242942047E1,-3.561219406E1,1.106430054E1,4.351696238E1
7.590147458E0,-2.099706078E1,-3.647394943E1,1.012200165E1,4.328603084E1
7.600171458E0,-1.939720726E1,-3.726750183E1,9.409713745E0,4.305416420E1
7.610196458E0,-1.807888794E1,-3.806775665E1,8.365554810E0,4.296490187E1
7.620220458E0,-1.657703209E1,-3.882910919E1,7.327239990E0,4.285074281E1
7.630245458E0,-1.500413036E1,-3.932708359E1,6.225585938E0,4.254998651E1
7.640269458E0,-1.322364616E1,-4.011945724E1,4.869232178E0,4.252228933E1
7.650294458E0,-1.197294617E1,-4.061514664E1,3.741981506E0,4.250816394E1
7.660319458E0,-1.041341972E1,-4.115760422E1,2.832389832E0,4.254891453E1
7.670343458E0,-9.280689240E0,-4.157957840E1,1.854789734E0,4.264308593E1
7.680368458E0,-8.005052567E0,-4.177250671E1,7.634048462E-1,4.253946369E1
7.690392458E0,-6.886444092E0,-4.166051102E1,-1.815414429E-1,4.222622701E1
7.700417458E0,-6.104867935E0,-4.188328552E1,-1.005485535E0,4.233780840E1
7.710441458E0,-4.815626144E0,-4.190340424E1,-2.206710815E0,4.223689281E1
7.720466458E0,-3.868619919E0,-4.190663147E1,-3.146926880E0,4.220231190E1
7.730491458E0,-3.003526688E0,-4.188733292E1,-3.966148376E0,4.218175156E1
7.740515458E0,-2.178810120E0,-4.175164795E1,-4.480987549E0,4.204790803E1
7.750540458E0,-1.283843994E0,-4.182919693E1,-5.255249023E0,4.217757240E1
7.760564458E0,-3.552742004E-1,-4.161265564E1,-5.803352356E0,4.201688027E1
7.770589458E0,9.278678894E-2,-4.178093719E1,-6.806098938E0,4.233176473E1
7.780614458E0,7.169322968E-1,-4.148144150E1,-7.464286804E0,4.215376090E1
7.790638458E0,1.237955093E0,-4.125043106E1,-8.272903442E0,4.209004071E1
7.800663458E0,2.147317886E0,-4.108973694E1,-8.727851868E0,4.206129877E1
7.810687458E0,2.592489243E0,-4.103712463E1,-9.610626221E0,4.222713269E1
7.820712458E0,3.282487869E0,-4.079422379E1,-1.034146118E1,4.221242993E1
7.830736458E0,3.826463699E0,-4.059679794E1,-1.088730621E1,4.220515684E1
7.840761458E0,4.339941025E0,-4.031400299E1,-1.184684753E1,4.224217942E1
7.850786458E0,4.827314377E0,-3.978914642E1,-1.263139343E1,4.202417444E1
7.860810458E0,5.133195877E0,-3.955469131E1,-1.350087738E1,4.210934570E1
7.870835458E0,5.531923294E0,-3.917522812E1,-1.405965424E1,4.198779050E1
7.880859458E0,5.776792526E0,-3.892431641E1,-1.501653290E1,4.211852324E1
7.890884458E0,5.997079849E0,-3.848780060E1,-1.586282349E1,4.205835150E1
7.900908458E0,6.469552994E0,-3.791731644E1,-1.638409424E1,4.180928779E1
7.910933458E0,6.850549698E0,-3.778207779E1,-1.734822845E1,4.213521643E1
7.920958458E0,7.147886276E0,-3.737499619E1,-1.774088287E1,4.198477752E1
7.930982458E0,7.519731522E0,-3.693569946E1,-1.824478149E1,4.187677529E1
7.941007458E0,7.623609543E0,-3.674592590E1,-1.874552155E1,4.194969691E1
7.951031458E0,7.912275314E0,-3.639505386E1,-1.953494263E1,4.205731839E1
7.961056458E0,8.019777298E0,-3.619681931E1,-2.010617828E1,4.217564417E1
7.971080458E0,7.878328323E0,-3.577928543E1,-2.081363678E1,4.213588493E1
7.981105458E0,8.097040176E0,-3.555693817E1,-2.104428864E1,4.210368150E1
7.991130458E0,8.466684341E0,-3.527846909E1,-2.179380035E1,4.232286449E1
8.001154458E0,8.527219772E0,-3.488615417E1,-2.267713165E1,4.247363335E1
8.011179458E0,8.816217422E0,-3.396863556E1,-2.344513702E1,4.220507483E1
8.021203458E0,8.919630051E0,-3.344803619E1,-2.412100983E1,4.219187174E1
8.031228458E0,8.866144180E0,-3.295354843E1,-2.474962616E1,4.215553181E1
8.041252458E0,9.032705307E0,-3.246268463E1,-2.598360443E1,4.255071513E1
8.051277458E0,9.205240250E0,-3.204452133E1,-2.621473694E1,4.241226507E1
8.061302458E0,9.260808945E0,-3.145682144E1,-2.687219238E1,4.239585972E1
8.071326458E0,9.164266586E0,-3.086207199E1,-2.739749146E1,4.227379576E1
8.081351458E0,9.317373276E0,-3.053352737E1,-2.786019897E1,4.237098566E1
8.091375458E0,9.047384262E0,-2.989727783E1,-2.864695740E1,4.238337589E1
8.101400458E0,8.995115280E0,-2.939925003E1,-2.941577911E1,4.255015937E1
8.111424458E0,8.927930832E0,-2.908345032E1,-3.000215149E1,4.272802506E1
8.121449458E0,8.647413254E0,-2.843656921E1,-3.034049225E1,4.247307023E1
8.131474458E0,8.484430313E0,-2.794205475E1,-3.046046448E1,4.219696526E1
8.141498458E0,7.746862411E0,-2.766954422E1,-3.124574280E1,4.244895756E1
8.151523458E0,7.372320175E0,-2.695135880E1,-3.176188660E1,4.230300564E1
8.161547458E0,7.195020676E0,-2.671479797E1,-3.205075836E1,4.234028655E1
8.171571958E0,6.945592880E0,-2.638277817E1,-3.237785339E1,4.233931547E1
8.181595958E0,6.252096176E0,-2.591603851E1,-3.324377441E1,4.261312352E1
8.191620958E0,5.957319260E0,-2.549328041E1,-3.349640656E1,4.251360078E1
8.201645958E0,5.511697769E0,-2.493863297E1,-3.403816986E1,4.255480271E1
8.211669958E0,5.097715378E0,-2.423752975E1,-3.468604279E1,4.262119326E1
8.221694958E0,4.603399277E0,-2.366499138E1,-3.544483185E1,4.286676109E1
8.231718958E0,3.953722000E0,-2.293659210E1,-3.557305908E1,4.251072462E1
8.241743958E0,3.271615982E0,-2.193369293E1,-3.629766083E1,4.253599109E1
8.251767958E0,2.895826340E0,-2.119248199E1,-3.670075989E1,4.247885215E1
8.261792958E0,2.419967651E0,-2.048950005E1,-3.714631653E1,4.249146605E1
8.271817958E0,1.721509933E0,-1.979426384E1,-3.763961792E1,4.256192329E1
8.281841958E0,1.404872894E0,-1.910044670E1,-3.842145538E1,4.293028029E1
8.291866958E0,9.434261322E-1,-1.784603882E1,-3.898086548E1,4.288215279E1
8.301890958E0,2.045192719E-1,-1.751659584E1,-3.901366425E1,4.276609587E1
8.311915958E0,-1.645755768E-1,-1.689851761E1,-3.942324066E1,4.289264374E1
8.321939958E0,-9.073352814E-1,-1.611651611E1,-3.905194092E1,4.225659047E1
8.331964958E0,-1.575172424E0,-1.548125076E1,-3.966111755E1,4.260463049E1
8.341989958E0,-2.447713852E0,-1.447181606E1,-3.981227875E1,4.243161913E1
8.352013958E0,-3.022315979E0,-1.345695877E1,-4.020729065E1,4.250706241E1
8.362038958E0,-3.924930573E0,-1.242951202E1,-4.071568298E1,4.275119519E1
8.372062958E0,-4.674112320E0,-1.118959427E1,-4.092372131E1,4.268261135E1
8.382087958E0,-5.343166351E0,-9.769903183E0,-4.109118652E1,4.257330202E1
8.392112958E0,-6.163526535E0,-8.531285286E0,-4.122857666E1,4.255076288E1
8.402136958E0,-6.992815018E0,-7.492506981E0,-4.136381531E1,4.261457896E1
8.412161958E0,-7.699274063E0,-6.204116821E0,-4.152128601E1,4.268239776E1
8.422185958E0,-7.964687347E0,-4.633231163E0,-4.144361877E1,4.245558400E1
8.432210958E0,-8.637310028E0,-3.170256615E0,-4.159462738E1,4.260007839E1
8.442234958E0,-9.013706207E0,-2.005937576E0,-4.149368286E1,4.250878030E1
8.452259958E0,-8.956512451E0,-7.059307098E-1,-4.139857483E1,4.236224087E1
8.462283958E0,-9.623947144E0,3.485403061E-1,-4.110781860E1,4.222078385E1
8.472308958E0,-9.935138702E0,1.448194504E0,-4.094962311E1,4.216249377E1
8.482333958E0,-1.017509079E1,2.571242332E0,-4.085134125E1,4.217790703E1
8.492357958E0,-1.068371201E1,3.312392235E0,-4.078522491E1,4.229123096E1
8.502382958E0,-1.085473442E1,4.223843575E0,-4.062156677E1,4.225846425E1
8.512406958E0,-1.102744675E1,5.111149788E0,-4.037087250E1,4.216083230E1
8.522431958E0,-1.123736191E1,6.090460777E0,-4.026427460E1,4.224433482E1
8.532455958E0,-1.121040154E1,6.786358833E0,-4.037829590E1,4.245155531E1
8.542480958E0,-1.124783325E1,7.466382027E0,-3.954194641E1,4.178308437E1
8.552505958E0,-1.102649879E1,8.189991951E0,-3.949031067E1,4.181081535E1
8.562529958E0,-1.081318092E1,8.785912514E0,-3.939298248E1,4.178425791E1
8.572554958E0,-1.057509422E1,9.340556145E0,-3.875752258E1,4.124589875E1
8.582578958E0,-1.055940247E1,9.883748055E0,-3.850257874E1,4.112952741E1
8.592603958E0,-1.057789230E1,1.046785641E1,-3.835418701E1,4.114014444E1
8.602628958E0,-1.057802391E1,1.091934681E1,-3.830928802E1,4.121563142E1
8.612652958E0,-1.040692139E1,1.106624889E1,-3.812205505E1,4.103726305E1
8.622677958E0,-1.061348343E1,1.125664616E1,-3.784050751E1,4.088107290E1
8.632701958E0,-1.066572380E1,1.154192829E1,-3.785599518E1,4.098841475E1
8.642726958E0,-1.052577019E1,1.165621853E1,-3.752896881E1,4.068270847E1
8.652750958E0,-1.052903366E1,1.150780392E1,-3.774629211E1,4.084204536E1
8.662775958E0,-1.045152092E1,1.146228886E1,-3.779786682E1,4.085703234E1
8.672799958E0,-1.032060623E1,1.104001713E1,-3.789788818E1,4.080008358E1
8.682824958E0,-1.017699051E1,1.066112614E1,-3.783902740E1,4.060816102E1
8.692849958E0,-9.839300156E0,1.040616322E1,-3.813653564E1,4.073690478E1
8.702873958E0,-9.709230423E0,1.006040478E1,-3.816744995E1,4.064769533E1
8.712898958E0,-9.501911163E0,9.401974678E0,-3.813352203E1,4.040852566E1
8.722922958E0,-9.019834518E0,8.997733116E0,-3.851258850E1,4.056520786E1
8.732947958E0,-8.870273590E0,8.331206322E0,-3.882769775E1,4.069005855E1
8.742971958E0,-8.400018692E0,7.681124687E0,-3.898024750E1,4.060812339E1
8.752996958E0,-8.122974396E0,6.786511421E0,-3.914633942E1,4.055213114E1
8.763021958E0,-7.533691406E0,5.791966438E0,-3.900250244E1,4.014347491E1
8.773045958E0,-7.391389847E0,4.787013054E0,-3.906757355E1,4.004776449E1
8.783070958E0,-6.751295090E0,3.723774910E0,-3.933765411E1,4.008612623E1
8.793094958E0,-6.098934174E0,2.621111870E0,-3.959089661E1,4.014357134E1
8.803119958E0,-5.473775864E0,1.905816078E0,-3.990592194E1,4.032464461E1
8.813143958E0,-4.963130951E0,9.224081039E-1,-3.965246582E1,3.997250994E1
8.823168958E0,-4.598264694E0,-3.660840988E-1,-3.954385376E1,3.981198847E1
8.833193958E0,-4.100965500E0,-1.407016754E0,-3.984465790E1,4.007985001E1
8.843217958E0,-3.804355621E0,-2.433697701E0,-3.998196411E1,4.023622075E1
8.853242958E0,-3.381248474E0,-3.646566391E0,-3.973148346E1,4.004149180E1
8.863266958E0,-2.857700348E0,-4.750226021E0,-3.963784790E1,4.002361909E1
8.873291958E0,-2.511844635E0,-5.688284874E0,-3.998386383E1,4.046449450E1
8.883315958E0,-1.777292252E0,-6.793188095E0,-3.965115356E1,4.026810340E1
8.893340958E0,-1.049842834E0,-7.885396481E0,-3.960713196E1,4.039810082E1
8.903365958E0,-5.032176971E-1,-8.954572678E0,-3.915509796E1,4.016913363E1
8.913389958E0,2.991867065E-2,-9.980297089E0,-3.907624817E1,4.033063843E1
8.923414958E0,4.167747498E-1,-1.117482758E1,-3.869706726E1,4.028043554E1
8.933438958E0,9.379959106E-1,-1.207807922E1,-3.841414642E1,4.027910723E1
8.943463958E0,1.628231049E0,-1.296799660E1,-3.794060516E1,4.012866298E1
8.953487958E0,2.215940475E0,-1.393750668E1,-3.735150909E1,3.992868288E1
8.963512958E0,2.694238663E0,-1.444492245E1,-3.740076447E1,4.018372667E1
8.973537958E0,3.586168289E0,-1.538801765E1,-3.713931274E1,4.036062737E1
8.983561958E0,4.315893173E0,-1.609538651E1,-3.650011444E1,4.012414180E1
8.993586958E0,4.537824631E0,-1.714411736E1,-3.597515106E1,4.010890308E1
9.003610958E0,5.043783188E0,-1.775204277E1,-3.587882233E1,4.034680487E1
9.013635958E0,5.368772507E0,-1.852742004E1,-3.513226318E1,4.007948263E1
9.023659958E0,5.721536636E0,-1.942761993E1,-3.483277130E1,4.029255954E1
9.033684958E0,6.258981705E0,-2.009734535E1,-3.444016266E1,4.036338621E1
9.043709958E0,6.842195511E0,-2.127770805E1,-3.399221039E1,4.068202142E1
9.053733958E0,6.950754166E0,-2.222475052E1,-3.357545471E1,4.086029464E1
9.063758958E0,7.494005203E0,-2.321442604E1,-3.235034943E1,4.051684586E1
9.073782958E0,8.104120255E0,-2.431499481E1,-3.113751221E1,4.032915080E1
9.083807958E0,8.660482407E0,-2.518685150E1,-3.029544067E1,4.033850728E1
9.093831958E0,8.973375320E0,-2.618341255E1,-2.947219086E1,4.043145547E1
9.103856958E0,9.859937668E0,-2.728037262E1,-2.836485291E1,4.057094997E1
9.113881958E0,1.048289299E1,-2.802649879E1,-2.725660706E1,4.047589787E1
9.123905958E0,1.106785011E1,-2.906511688E1,-2.597734833E1,4.052284481E1
9.133930958E0,1.171266365E1,-2.974858475E1,-2.498007202E1,4.057300559E1
9.143954958E0,1.276556587E1,-3.051400375E1,-2.351082611E1,4.058106753E1
9.153979958E0,1.336860847E1,-3.124897003E1,-2.250627899E1,4.076457303E1
9.164003958E0,1.403835869E1,-3.185515213E1,-2.116053772E1,4.073812205E1
9.174029458E0,1.458912849E1,-3.230840683E1,-1.973121643E1,4.057088518E1
9.184054458E0,1.536666298E1,-3.318079376E1,-1.822918701E1,4.085832430E1
9.194078458E0,1.578778648E1,-3.358815384E1,-1.661553955E1,4.066318279E1
9.204103458E0,1.617743111E1,-3.405739975E1,-1.503348541E1,4.059090340E1
9.214127458E0,1.679165077E1,-3.471806335E1,-1.384838867E1,4.097659487E1
9.224152458E0,1.711158180E1,-3.508008194E1,-1.161418152E1,4.072232303E1
9.234176458E0,1.768219948E1,-3.538179779E1,-1.043361664E1,4.090711612E1
9.244201458E0,1.813640785E1,-3.559461212E1,-8.552993774E0,4.085412347E1
9.254226458E0,1.868432045E1,-3.557420731E1,-7.152549744E0,4.081405425E1
9.264250458E0,1.895280647E1,-3.589238739E1,-5.590293884E0,4.097223122E1
9.274275458E0,1.917406273E1,-3.580295944E1,-4.068901062E0,4.081730690E1
9.284299458E0,1.939125633E1,-3.574629974E1,-2.713012695E0,4.075756623E1
9.294324458E0,1.954498482E1,-3.567747116E1,-1.416534424E0,4.070497451E1
9.304348458E0,1.957280922E1,-3.566806793E1,-3.430633545E-1,4.068689744E1
9.314373458E0,2.010125923E1,-3.548537445E1,1.235237122E0,4.080193909E1
9.324398458E0,2.040246391E1,-3.550797653E1,2.273727417E0,4.101520166E1
9.334422458E0,2.064213753E1,-3.509763718E1,3.475967407E0,4.086593112E1
9.344447458E0,2.084875679E1,-3.502061844E1,4.879951477E0,4.104787817E1
9.354471458E0,2.097772789E1,-3.438368225E1,6.126564026E0,4.074110282E1
9.364496458E0,2.129265022E1,-3.424715805E1,7.297241211E0,4.098163634E1
9.374521458E0,2.123562431E1,-3.387336731E1,8.461166382E0,4.086499834E1
9.384545458E0,2.145943642E1,-3.336391830E1,9.641227722E0,4.082415618E1
9.394570458E0,2.170297050E1,-3.249744415E1,1.214178848E1,4.092097057E1
9.404594458E0,2.198973656E1,-3.195729446E1,1.366992569E1,4.113008694E1
9.414619458E0,2.191440392E1,-3.115453339E1,1.442260361E1,4.072907493E1
9.424643458E0,2.198715782E1,-3.072994232E1,1.566632080E1,4.090474388E1
9.434668458E0,2.199820137E1,-3.007059097E1,1.667959595E1,4.082119824E1
9.444693458E0,2.166789436E1,-2.936603928E1,1.788086700E1,4.063972581E1
9.454717458E0,2.167580986E1,-2.883873749E1,1.904888535E1,4.079673450E1
9.464742458E0,2.153907967E1,-2.794903564E1,2.019057083E1,4.065390137E1
9.474766458E0,2.146873665E1,-2.724045944E1,2.165622711E1,4.088938073E1
9.484791458E0,2.097512627E1,-2.641293335E1,2.277238083E1,4.069619514E1
9.494815458E0,2.083399773E1,-2.555124855E1,2.410520554E1,4.084094389E1
9.504840458E0,2.017683601E1,-2.484148598E1,2.545877838E1,4.089441935E1
9.514865458E0,1.975294685E1,-2.399793625E1,2.645048141E1,4.081308394E1
9.524889458E0,1.931082726E1,-2.302190018E1,2.788314438E1,4.099250758E1
9.534914458E0,1.884708214E1,-2.225549698E1,2.876309586E1,4.096138833E1
9.544938458E0,1.866418266E1,-2.130849075E1,2.974060822E1,4.107197670E1
9.554963458E0,1.837974739E1,-1.999447632E1,3.097415161E1,4.119456597E1
9.564987458E0,1.790537071E1,-1.878262901E1,3.182807541E1,4.106599368E1
9.575012458E0,1.765971565E1,-1.757683563E1,3.283218384E1,4.121605274E1
9.585037458E0,1.758907890E1,-1.626990509E1,3.369690323E1,4.134690793E1
9.595061458E0,1.741697884E1,-1.441309166E1,3.460000229E1,4.133096323E1
9.605086458E0,1.715047646E1,-1.295713615E1,3.522401810E1,4.126448438E1
9.615110458E0,1.661745262E1,-1.101272869E1,3.625184250E1,4.137168125E1
