"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.723212270059899E9,"2024-08-09 16:04:30.060 UTC+02:00"
"PAUSE",2.708577295833675E1,1.723212297146096E9,"2024-08-09 16:04:57.146 UTC+02:00"
